Member,Type,Section,Length_m,Total_kg,UR
534,PURLIN,200X65X15NB,7.203,34.57,0.333
535,PURLIN,200X65X15NB,7.203,34.57,0.333
536,PURLIN,200X65X15NB,7.203,34.57,0.333
537,PURLIN,200X65X15NB,7.203,34.57,0.333
538,PURLIN,200X65X15NB,7.203,34.57,0.333
539,PURLIN,200X65X15NB,7.203,34.57,0.333
540,PURLIN,200X65X15NB,7.203,34.57,0.333
541,GIRT,200X65X15NB,7.203,34.57,0.333
542,GIRT,200X65X15NB,7.203,34.57,0.333
543,GIRT,200X65X15NB,7.203,34.57,0.333
544,GIRT,200X65X15NB,7.203,34.57,0.333
545,PURLIN,200X65X15NB,7.203,34.57,0.333
546,PURLIN,200X65X15NB,7.203,34.57,0.333
547,PURLIN,200X65X15NB,7.203,34.57,0.333
548,PURLIN,200X65X15NB,7.203,34.57,0.333
549,PURLIN,200X65X15NB,7.203,34.57,0.333
550,PURLIN,200X65X15NB,7.203,34.57,0.333
551,PURLIN,200X65X15NB,7.203,34.57,0.333
